,App,Category,Size_M,Price,Rating
0,PAC-MAN Premium,Games,96.119140625,3.99,4.0
1,Evernote - stay organized,Productivity,151.232421875,0.0,4.0
2,"WeatherBug - Local Weather, Radar, Maps, Alerts",Weather,95.8671875,0.0,3.5
3,"eBay: Best App to Buy, Sell, Save! Online Shopping",Shopping,122.55859375,0.0,4.0
4,Bible,Book,88.4765625,0.0,4.5
5,Shanghai Mahjong,Games,9.999955177307129,0.99,4.0
6,PayPal - Send and request money safely,Finance,217.2431640625,0.0,4.0
7,Pandora - Music & Radio,Music,124.208984375,0.0,4.0
8,PCalc - The Best Calculator,Utilities,46.96875,9.99,4.5
9,Ms. PAC-MAN,Games,66.779296875,3.99,4.0
10,Solitaire by MobilityWare,Games,47.3203125,4.99,4.5
11,SCRABBLE Premium,Games,217.005859375,7.99,3.5
12,Google – Search made just for mobile,Utilities,171.6416015625,0.0,3.5
13,Bank of America - Mobile Banking,Finance,153.470703125,0.0,3.5
14,FreeCell,Games,52.5986328125,4.99,4.5
15,TripAdvisor Hotels Flights Restaurants,Travel,198.2763671875,0.0,4.0
16,Facebook,Social Networking,371.818359375,0.0,3.5
17,"Yelp - Nearby Restaurants, Shopping & Services",Travel,159.65234375,0.0,4.0
18,"Shazam - Discover music, artists, videos & lyrics",Music,140.279296875,0.0,4.0
19,Crash Bandicoot Nitro Kart 3D,Games,10.23771858215332,2.99,4.0
20,iQuran,Book,67.43232345581055,1.99,4.5
21,:) Sudoku +,Games,5.8837890625,2.99,5.0
22,"Yahoo Sports - Teams, Scores, News & Highlights",Sports,124.5341796875,0.0,4.0
23,Mileage Log | Fahrtenbuch,Business,67.9052734375,5.99,4.5
24,Cleartune - Chromatic Tuner,Music,10.893829345703125,3.99,4.0
25,Lifesum – Inspiring healthy lifestyle app,Health & Fitness,179.3076171875,0.0,3.5
26,Hangman.,Games,4.544921875,0.0,3.0
27,iTranslate - Language Translator & Dictionary,Productivity,274.5947265625,0.0,3.5
28,TouchOSC,Music,4.06640625,4.99,4.0
29,RadarScope,Weather,164.7685546875,9.99,4.0
30,LinkedIn,Social Networking,261.158203125,0.0,3.5
31,Period Tracker Deluxe,Health & Fitness,38.353515625,1.99,4.5
32,Election 2016 Map,Entertainment,2.2763671875,0.99,3.0
33,Blackjack by MobilityWare,Games,100.546875,0.0,3.5
34,White Noise,Health & Fitness,42.0849609375,0.99,4.0
35,iHeartRadio – Free Music & Radio Stations,Music,111.048828125,0.0,4.0
36,Line Rider iRide™,Entertainment,1.5703125,1.99,3.5
37,Deliveries: a package tracker,Utilities,28.6259765625,4.99,4.0
38,Hurricane Pro,Weather,28.1513671875,2.99,4.5
39,Fieldrunners,Games,63.7744140625,2.99,4.0
40,Juxtaposer,Photo & Video,43.1337890625,2.99,4.5
41,Deezer - Listen to your Favorite Music & Playlists,Music,121.5654296875,0.0,3.0
42,iStellar,Navigation,42.1923828125,3.99,3.5
43,Sonos Controller,Music,102.9814453125,0.0,4.5
44,Avertinoo,Navigation,7.671875,4.99,3.0
